defined_class	prefLabel	Taxonomy_label	Synonyms_from_taxonomy	Gross_cell_type	Taxon	Taxon_abbv	Brain_region	Cluster_IDs	Labelset	Dataset_url	Alias_citations	Short_form_citation	Parent_label	Minimal_markers	Allen_markers	Brain_region_abbv	Species_abbv	Individuals	part_of	has_soma_location	aligned_alias	CL	NT	NT_markers	MBA_assay	Subclass_markers	Matrix_url	Class_name	NT_label	Nomenclature_Layers	Nomenclature_Projection	evidence_marker_gene_set	marker_gene_set	marker_gene_set_confidence	ws_marker_gene_set	ws_marker_gene_set_confidence	nsforest_marker_gene_set_1	nsforest_marker_gene_set_1_confidence	nsforest_marker_gene_set_2	nsforest_marker_gene_set_2_confidence	MBA	MBA_text	Location_disclaimer	NT_disclaimer	Atlas_url	Atlas_url_label	Rationale_comment	Rationale_comment_dois	MBA_1	MBA_1_cell_percentage	MBA_1_comment	MBA_2	MBA_2_cell_percentage	MBA_2_comment	MBA_3	MBA_3_cell_percentage	MBA_3_comment	CCF_acronym_freq
http://purl.obolibrary.org/obo/PCL_0160018	Immune	Immune	Immune	CL:0000842	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_CLASS_0008	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	Nonneuron			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_CLASS_0008		DHBA:10332		CL:0000842			EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0001.h5ad	CS20250428_NEIGH_0001																														
http://purl.obolibrary.org/obo/PCL_0160021	Vascular	Vascular	Vascular	CL:0002320	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_CLASS_0011	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	Nonneuron			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_CLASS_0011		DHBA:10332		CL:0002320			EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0001.h5ad	CS20250428_NEIGH_0001																														
http://purl.obolibrary.org/obo/CL_4310129	STRd D1 Matrix MSN	STRd D1 Matrix MSN	D1-Matrix|STRd D1 Matrix MSN	CL:4030043	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_GROUP_0049	Group	https://purl.brain-bican.org/taxonomy/CCN20230722	https://doi.org/10.1016/j.cub.2021.10.015|https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	STR D1 MSN			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_GROUP_0049		DHBA:10332		CL:4030043			EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0002.h5ad	CS20250428_NEIGH_0002				http://purl.obolibrary.org/obo/CLM_5050529									DHBA:10333	striatum (STR, 1.0)						https://doi.org/10.1016/j.cub.2021.10.015	DHBA:10333	1.0	Location assignment based on CCF broad region.							
http://purl.obolibrary.org/obo/CL_4310130	STRd D1 Striosome MSN	STRd D1 Striosome MSN	D1-Striosome|STRd D1 Striosome MSN	CL:4030048	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_GROUP_0050	Group	https://purl.brain-bican.org/taxonomy/CCN20230722	https://doi.org/10.1016/j.cub.2021.10.015|https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	STR D1 MSN			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_GROUP_0050		DHBA:10332		CL:4030048			EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0002.h5ad	CS20250428_NEIGH_0002				http://purl.obolibrary.org/obo/CLM_5050530									DHBA:10333	striatum (STR, 1.0)						https://doi.org/10.1016/j.cub.2021.10.015	DHBA:10333	1.0	Location assignment based on CCF broad region.							
http://purl.obolibrary.org/obo/CL_4310132	STRd D2 Matrix MSN	STRd D2 Matrix MSN	D2-Matrix|STRd D2 Matrix MSN	CL:4030047	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_GROUP_0052	Group	https://purl.brain-bican.org/taxonomy/CCN20230722	https://doi.org/10.1016/j.cub.2021.10.015|https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	STR D2 MSN			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_GROUP_0052		DHBA:10332		CL:4030047			EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0002.h5ad	CS20250428_NEIGH_0002				http://purl.obolibrary.org/obo/CLM_5050532									DHBA:10333	striatum (STR, 1.0)						https://doi.org/10.1016/j.cub.2021.10.015	DHBA:10333	1.0	Location assignment based on CCF broad region.							
http://purl.obolibrary.org/obo/CL_4310134	STRd D2 Striosome MSN	STRd D2 Striosome MSN	D2-Striosome|STRd D2 Striosome MSN	CL:4030049	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_GROUP_0054	Group	https://purl.brain-bican.org/taxonomy/CCN20230722	https://doi.org/10.1016/j.cub.2021.10.015|https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	STR D2 MSN			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_GROUP_0054		DHBA:10332		CL:4030049			EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0002.h5ad	CS20250428_NEIGH_0002				http://purl.obolibrary.org/obo/CLM_5050534									DHBA:10333	striatum (STR, 1.0)						https://doi.org/10.1016/j.cub.2021.10.015	DHBA:10333	1.0	Location assignment based on CCF broad region.							
http://purl.obolibrary.org/obo/CL_4310136	STRv D1 MSN	STRv D1 MSN	D1-Shell/OT|STRv D1 MSN	CL:4030051	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_GROUP_0056	Group	https://purl.brain-bican.org/taxonomy/CCN20230722	https://doi.org/10.1016/j.cub.2021.10.015|https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	STR D1 MSN			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_GROUP_0056		DHBA:10332		CL:4030051			EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0002.h5ad	CS20250428_NEIGH_0002				http://purl.obolibrary.org/obo/CLM_5050536									DHBA:10333	striatum (STR, 0.9)						https://doi.org/10.1016/j.cub.2021.10.015	DHBA:10333	0.9	Location assignment based on CCF broad region.							
http://purl.obolibrary.org/obo/CL_4310138	STRv D2 MSN	STRv D2 MSN	D2-Shell/OT|STRv D2 MSN	CL:4030052	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_GROUP_0058	Group	https://purl.brain-bican.org/taxonomy/CCN20230722	https://doi.org/10.1016/j.cub.2021.10.015|https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	STR D2 MSN			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_GROUP_0058		DHBA:10332		CL:4030052			EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0002.h5ad	CS20250428_NEIGH_0002				http://purl.obolibrary.org/obo/CLM_5050538									DHBA:10333	striatum (STR, 0.8)						https://doi.org/10.1016/j.cub.2021.10.015	DHBA:10333	0.8	Location assignment based on CCF broad region.							
http://purl.obolibrary.org/obo/CL_4310133	STRd D2 StrioMat Hybrid MSN	STRd D2 StrioMat Hybrid MSN	STRd D2 StrioMat Hybrid MSN	CL:4023029	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_GROUP_0053	Group	https://purl.brain-bican.org/taxonomy/CCN20230722	https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	STR D2 MSN			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_GROUP_0053		DHBA:10332					EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0002.h5ad	CS20250428_NEIGH_0002													DHBA:10333	striatum (STR, 0.9)							DHBA:10333	0.9	Location assignment based on CCF broad region.							
http://purl.obolibrary.org/obo/CL_4310131	STR D1D2 Hybrid MSN	STR D1D2 Hybrid MSN	D1/D2 Hybrid|STR D1D2 Hybrid MSN	CL:4030050	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_GROUP_0051	Group	https://purl.brain-bican.org/taxonomy/CCN20230722	https://doi.org/10.1016/j.cub.2021.10.015|https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	STR Hybrid MSN			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_GROUP_0051		DHBA:10332		CL:4030050			EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0002.h5ad	CS20250428_NEIGH_0002				http://purl.obolibrary.org/obo/CLM_5050531									DHBA:10333	striatum (STR, 1.0)						https://doi.org/10.1016/j.cub.2021.10.015	DHBA:10333	1.0	Location assignment based on CCF broad region.							
